dataset,config,policy_mode,selectivity,k,num_queries,visible_ratio,unrestricted_recall,post_filter_recall,authorized_recall,underfill_rate,avg_visible_results,violation_count,violation_rate,utility_gap,affected_query_rate,reference_scope
sift1m,high-acc,skewed_acl,0.75,1,10000,0.7506970000000001,0.3186,0.2376,0.2665,0.2478,0.7522,0,0.0,0.02890000000000001,0.2478,candidate_level
sift1m,high-acc,skewed_acl,0.75,10,10000,0.7506970000000001,0.7451,0.5578,0.5884,0.944,7.4941,0,0.0,0.03060000000000007,0.944,candidate_level
sift1m,high-acc,skewed_acl,0.75,100,10000,0.7506970000000001,0.9583,0.7171,0.7171,1.0,75.0697,0,0.0,0.0,0.0,candidate_level
sift1m,zk-opt,uniform_random,0.1,1,10000,0.10042700000000002,0.2812,0.0289,0.0593,0.903,0.097,0,0.0,0.0304,0.903,candidate_level
sift1m,zk-opt,uniform_random,0.1,10,10000,0.10042700000000002,0.6676,0.067,0.084,1.0,1.0046,0,0.0,0.017,1.0,candidate_level
sift1m,zk-opt,uniform_random,0.1,100,10000,0.10042700000000002,0.8702,0.0844,0.0844,1.0,10.0427,0,0.0,0.0,0.0,candidate_level
sift1m,zk-opt,uniform_random,0.25,1,10000,0.24939100000000003,0.2812,0.0713,0.1174,0.7515,0.2485,0,0.0,0.0461,0.7515,candidate_level
sift1m,zk-opt,uniform_random,0.25,10,10000,0.24939100000000003,0.6676,0.1639,0.2013,1.0,2.4808,0,0.0,0.03740000000000002,1.0,candidate_level
sift1m,zk-opt,uniform_random,0.25,100,10000,0.24939100000000003,0.8702,0.2137,0.2137,1.0,24.9391,0,0.0,0.0,0.0,candidate_level
sift1m,zk-opt,uniform_random,0.5,1,10000,0.5001499999999999,0.2812,0.1419,0.1857,0.4939,0.5061,0,0.0,0.043800000000000006,0.4939,candidate_level
sift1m,zk-opt,uniform_random,0.5,10,10000,0.5001499999999999,0.6676,0.3328,0.3793,0.9986,5.0249,0,0.0,0.04650000000000004,0.9986,candidate_level
sift1m,zk-opt,uniform_random,0.5,100,10000,0.5001499999999999,0.8702,0.4352,0.4352,1.0,50.015,0,0.0,0.0,0.0,candidate_level
sift1m,zk-opt,uniform_random,0.75,1,10000,0.749142,0.2812,0.2131,0.2416,0.2505,0.7495,0,0.0,0.028499999999999998,0.2505,candidate_level
sift1m,zk-opt,uniform_random,0.75,10,10000,0.749142,0.6676,0.5037,0.5357,0.9444,7.4991,0,0.0,0.03199999999999992,0.9444,candidate_level
sift1m,zk-opt,uniform_random,0.75,100,10000,0.749142,0.8702,0.6534,0.6534,1.0,74.9142,0,0.0,0.0,0.0,candidate_level
