dataset,config,policy_mode,selectivity,query_id,k,post_filter_recall,candidate_reference_recall,full_authorized_recall,post_filter_underfill,candidate_vs_full_overlap,post_filter_vs_full_overlap,reference_scope,full_base,visible_count,visible_ratio,dim,num_base
gist1m,high-acc,uniform_random,0.25,865,1,0.0,0.0,1.0,1.0,0.0,0.0,full_base_calibration,True,249512,0.249512,960,1000000
gist1m,high-acc,uniform_random,0.25,865,10,0.0,1.0,1.0,1.0,0.2,0.0,full_base_calibration,True,249512,0.249512,960,1000000
gist1m,high-acc,uniform_random,0.25,865,100,1.0,1.0,1.0,1.0,0.08,0.08,full_base_calibration,True,249512,0.249512,960,1000000
gist1m,high-acc,uniform_random,0.25,79,1,0.0,0.0,1.0,1.0,0.0,0.0,full_base_calibration,True,249512,0.249512,960,1000000
gist1m,high-acc,uniform_random,0.25,79,10,0.0,0.0,1.0,1.0,0.0,0.0,full_base_calibration,True,249512,0.249512,960,1000000
gist1m,high-acc,uniform_random,0.25,79,100,0.0,0.0,1.0,1.0,0.09,0.09,full_base_calibration,True,249512,0.249512,960,1000000
gist1m,high-acc,uniform_random,0.25,563,1,0.0,0.0,0.0,1.0,0.0,0.0,full_base_calibration,True,249512,0.249512,960,1000000
gist1m,high-acc,uniform_random,0.25,563,10,0.0,0.0,0.0,1.0,0.0,0.0,full_base_calibration,True,249512,0.249512,960,1000000
gist1m,high-acc,uniform_random,0.25,563,100,0.0,0.0,0.0,1.0,0.03,0.03,full_base_calibration,True,249512,0.249512,960,1000000
gist1m,high-acc,uniform_random,0.25,688,1,0.0,0.0,1.0,0.0,0.0,0.0,full_base_calibration,True,249512,0.249512,960,1000000
gist1m,high-acc,uniform_random,0.25,688,10,0.0,0.0,1.0,1.0,0.0,0.0,full_base_calibration,True,249512,0.249512,960,1000000
gist1m,high-acc,uniform_random,0.25,688,100,0.0,0.0,1.0,1.0,0.06,0.06,full_base_calibration,True,249512,0.249512,960,1000000
gist1m,high-acc,uniform_random,0.25,824,1,0.0,0.0,0.0,1.0,0.0,0.0,full_base_calibration,True,249512,0.249512,960,1000000
gist1m,high-acc,uniform_random,0.25,824,10,0.0,0.0,0.0,1.0,0.1,0.0,full_base_calibration,True,249512,0.249512,960,1000000
gist1m,high-acc,uniform_random,0.25,824,100,0.0,0.0,0.0,1.0,0.03,0.03,full_base_calibration,True,249512,0.249512,960,1000000
gist1m,high-acc,uniform_random,0.25,887,1,0.0,0.0,0.0,1.0,0.0,0.0,full_base_calibration,True,249512,0.249512,960,1000000
gist1m,high-acc,uniform_random,0.25,887,10,0.0,0.0,0.0,1.0,0.0,0.0,full_base_calibration,True,249512,0.249512,960,1000000
gist1m,high-acc,uniform_random,0.25,887,100,0.0,0.0,0.0,1.0,0.02,0.02,full_base_calibration,True,249512,0.249512,960,1000000
gist1m,high-acc,uniform_random,0.5,29,1,0.0,0.0,1.0,1.0,0.0,0.0,full_base_calibration,True,500412,0.500412,960,1000000
gist1m,high-acc,uniform_random,0.5,29,10,0.0,1.0,1.0,1.0,0.5,0.3,full_base_calibration,True,500412,0.500412,960,1000000
gist1m,high-acc,uniform_random,0.5,29,100,1.0,1.0,1.0,1.0,0.24,0.24,full_base_calibration,True,500412,0.500412,960,1000000
gist1m,high-acc,uniform_random,0.5,81,1,0.0,0.0,1.0,1.0,0.0,0.0,full_base_calibration,True,500412,0.500412,960,1000000
gist1m,high-acc,uniform_random,0.5,81,10,0.0,1.0,1.0,1.0,0.1,0.0,full_base_calibration,True,500412,0.500412,960,1000000
gist1m,high-acc,uniform_random,0.5,81,100,1.0,1.0,1.0,1.0,0.17,0.17,full_base_calibration,True,500412,0.500412,960,1000000
gist1m,high-acc,uniform_random,0.5,87,1,0.0,0.0,1.0,0.0,0.0,0.0,full_base_calibration,True,500412,0.500412,960,1000000
gist1m,high-acc,uniform_random,0.5,87,10,0.0,1.0,1.0,1.0,0.2,0.1,full_base_calibration,True,500412,0.500412,960,1000000
gist1m,high-acc,uniform_random,0.5,87,100,1.0,1.0,1.0,1.0,0.16,0.16,full_base_calibration,True,500412,0.500412,960,1000000
gist1m,high-acc,uniform_random,0.5,193,1,0.0,0.0,1.0,0.0,0.0,0.0,full_base_calibration,True,500412,0.500412,960,1000000
gist1m,high-acc,uniform_random,0.5,193,10,0.0,1.0,1.0,1.0,0.3,0.1,full_base_calibration,True,500412,0.500412,960,1000000
gist1m,high-acc,uniform_random,0.5,193,100,1.0,1.0,1.0,1.0,0.07,0.07,full_base_calibration,True,500412,0.500412,960,1000000
gist1m,high-acc,uniform_random,0.5,199,1,0.0,0.0,1.0,1.0,0.0,0.0,full_base_calibration,True,500412,0.500412,960,1000000
gist1m,high-acc,uniform_random,0.5,199,10,0.0,1.0,1.0,1.0,0.2,0.0,full_base_calibration,True,500412,0.500412,960,1000000
gist1m,high-acc,uniform_random,0.5,199,100,1.0,1.0,1.0,1.0,0.05,0.05,full_base_calibration,True,500412,0.500412,960,1000000
gist1m,high-acc,uniform_random,0.5,472,1,0.0,0.0,1.0,0.0,0.0,0.0,full_base_calibration,True,500412,0.500412,960,1000000
gist1m,high-acc,uniform_random,0.5,472,10,0.0,0.0,1.0,0.0,0.1,0.1,full_base_calibration,True,500412,0.500412,960,1000000
gist1m,high-acc,uniform_random,0.5,472,100,0.0,0.0,1.0,1.0,0.09,0.09,full_base_calibration,True,500412,0.500412,960,1000000
gist1m,high-acc,uniform_random,0.5,570,1,0.0,0.0,0.0,0.0,0.0,0.0,full_base_calibration,True,500412,0.500412,960,1000000
gist1m,high-acc,uniform_random,0.5,570,10,0.0,0.0,0.0,1.0,0.0,0.0,full_base_calibration,True,500412,0.500412,960,1000000
gist1m,high-acc,uniform_random,0.5,570,100,0.0,0.0,0.0,1.0,0.09,0.09,full_base_calibration,True,500412,0.500412,960,1000000
gist1m,high-acc,uniform_random,0.5,703,1,0.0,0.0,0.0,0.0,0.0,0.0,full_base_calibration,True,500412,0.500412,960,1000000
gist1m,high-acc,uniform_random,0.5,703,10,0.0,0.0,0.0,1.0,0.3,0.0,full_base_calibration,True,500412,0.500412,960,1000000
gist1m,high-acc,uniform_random,0.5,703,100,0.0,0.0,0.0,1.0,0.11,0.11,full_base_calibration,True,500412,0.500412,960,1000000
gist1m,high-acc,uniform_random,0.5,742,1,0.0,0.0,0.0,1.0,0.0,0.0,full_base_calibration,True,500412,0.500412,960,1000000
gist1m,high-acc,uniform_random,0.5,742,10,0.0,0.0,0.0,1.0,0.1,0.1,full_base_calibration,True,500412,0.500412,960,1000000
gist1m,high-acc,uniform_random,0.5,742,100,0.0,0.0,0.0,1.0,0.06,0.06,full_base_calibration,True,500412,0.500412,960,1000000
gist1m,high-acc,uniform_random,0.5,823,1,0.0,0.0,1.0,0.0,0.0,0.0,full_base_calibration,True,500412,0.500412,960,1000000
gist1m,high-acc,uniform_random,0.5,823,10,1.0,1.0,1.0,1.0,0.3,0.2,full_base_calibration,True,500412,0.500412,960,1000000
gist1m,high-acc,uniform_random,0.5,823,100,1.0,1.0,1.0,1.0,0.22,0.22,full_base_calibration,True,500412,0.500412,960,1000000
gist1m,high-acc,uniform_random,0.5,891,1,0.0,0.0,1.0,1.0,0.0,0.0,full_base_calibration,True,500412,0.500412,960,1000000
gist1m,high-acc,uniform_random,0.5,891,10,0.0,0.0,1.0,1.0,0.2,0.1,full_base_calibration,True,500412,0.500412,960,1000000
gist1m,high-acc,uniform_random,0.5,891,100,1.0,1.0,1.0,1.0,0.09,0.09,full_base_calibration,True,500412,0.500412,960,1000000
gist1m,high-acc,uniform_random,0.75,81,1,0.0,0.0,1.0,1.0,0.0,0.0,full_base_calibration,True,750353,0.750353,960,1000000
gist1m,high-acc,uniform_random,0.75,81,10,0.0,1.0,1.0,1.0,0.2,0.1,full_base_calibration,True,750353,0.750353,960,1000000
gist1m,high-acc,uniform_random,0.75,81,100,1.0,1.0,1.0,1.0,0.21,0.21,full_base_calibration,True,750353,0.750353,960,1000000
gist1m,high-acc,uniform_random,0.75,105,1,0.0,0.0,1.0,1.0,0.0,0.0,full_base_calibration,True,750353,0.750353,960,1000000
gist1m,high-acc,uniform_random,0.75,105,10,0.0,1.0,1.0,1.0,0.1,0.0,full_base_calibration,True,750353,0.750353,960,1000000
gist1m,high-acc,uniform_random,0.75,105,100,1.0,1.0,1.0,1.0,0.16,0.16,full_base_calibration,True,750353,0.750353,960,1000000
gist1m,high-acc,uniform_random,0.75,389,1,0.0,0.0,1.0,0.0,0.0,0.0,full_base_calibration,True,750353,0.750353,960,1000000
gist1m,high-acc,uniform_random,0.75,389,10,0.0,1.0,1.0,1.0,0.3,0.2,full_base_calibration,True,750353,0.750353,960,1000000
gist1m,high-acc,uniform_random,0.75,389,100,1.0,1.0,1.0,1.0,0.41,0.41,full_base_calibration,True,750353,0.750353,960,1000000
gist1m,high-acc,uniform_random,0.75,504,1,0.0,0.0,1.0,1.0,0.0,0.0,full_base_calibration,True,750353,0.750353,960,1000000
gist1m,high-acc,uniform_random,0.75,504,10,0.0,1.0,1.0,1.0,0.1,0.0,full_base_calibration,True,750353,0.750353,960,1000000
gist1m,high-acc,uniform_random,0.75,504,100,1.0,1.0,1.0,1.0,0.28,0.28,full_base_calibration,True,750353,0.750353,960,1000000
gist1m,high-acc,uniform_random,0.75,571,1,0.0,0.0,0.0,0.0,0.0,0.0,full_base_calibration,True,750353,0.750353,960,1000000
gist1m,high-acc,uniform_random,0.75,571,10,0.0,1.0,1.0,1.0,0.2,0.0,full_base_calibration,True,750353,0.750353,960,1000000
gist1m,high-acc,uniform_random,0.75,571,100,1.0,1.0,1.0,1.0,0.22,0.22,full_base_calibration,True,750353,0.750353,960,1000000
gist1m,high-acc,uniform_random,0.75,35,1,0.0,0.0,1.0,0.0,0.0,0.0,full_base_calibration,True,750353,0.750353,960,1000000
gist1m,high-acc,uniform_random,0.75,35,10,1.0,1.0,1.0,0.0,0.2,0.2,full_base_calibration,True,750353,0.750353,960,1000000
gist1m,high-acc,uniform_random,0.75,35,100,1.0,1.0,1.0,1.0,0.11,0.11,full_base_calibration,True,750353,0.750353,960,1000000
gist1m,high-acc,uniform_random,0.75,208,1,0.0,0.0,1.0,0.0,0.0,0.0,full_base_calibration,True,750353,0.750353,960,1000000
gist1m,high-acc,uniform_random,0.75,208,10,1.0,1.0,1.0,0.0,0.1,0.1,full_base_calibration,True,750353,0.750353,960,1000000
gist1m,high-acc,uniform_random,0.75,208,100,1.0,1.0,1.0,1.0,0.07,0.07,full_base_calibration,True,750353,0.750353,960,1000000
gist1m,high-acc,uniform_random,0.75,503,1,0.0,0.0,1.0,0.0,0.0,0.0,full_base_calibration,True,750353,0.750353,960,1000000
gist1m,high-acc,uniform_random,0.75,503,10,0.0,0.0,1.0,0.0,0.3,0.3,full_base_calibration,True,750353,0.750353,960,1000000
gist1m,high-acc,uniform_random,0.75,503,100,1.0,1.0,1.0,1.0,0.25,0.25,full_base_calibration,True,750353,0.750353,960,1000000
gist1m,high-acc,uniform_random,0.75,684,1,0.0,0.0,1.0,0.0,0.0,0.0,full_base_calibration,True,750353,0.750353,960,1000000
gist1m,high-acc,uniform_random,0.75,684,10,0.0,0.0,1.0,0.0,0.1,0.1,full_base_calibration,True,750353,0.750353,960,1000000
gist1m,high-acc,uniform_random,0.75,684,100,1.0,1.0,1.0,1.0,0.14,0.14,full_base_calibration,True,750353,0.750353,960,1000000
gist1m,high-acc,uniform_random,0.75,924,1,0.0,0.0,0.0,0.0,1.0,1.0,full_base_calibration,True,750353,0.750353,960,1000000
gist1m,high-acc,uniform_random,0.75,924,10,0.0,0.0,0.0,0.0,0.4,0.4,full_base_calibration,True,750353,0.750353,960,1000000
gist1m,high-acc,uniform_random,0.75,924,100,0.0,0.0,0.0,1.0,0.19,0.19,full_base_calibration,True,750353,0.750353,960,1000000
gist1m,high-acc,uniform_random,0.75,28,1,0.0,0.0,1.0,0.0,0.0,0.0,full_base_calibration,True,750353,0.750353,960,1000000
gist1m,high-acc,uniform_random,0.75,28,10,0.0,0.0,1.0,1.0,0.1,0.1,full_base_calibration,True,750353,0.750353,960,1000000
gist1m,high-acc,uniform_random,0.75,28,100,0.0,0.0,1.0,1.0,0.09,0.09,full_base_calibration,True,750353,0.750353,960,1000000
gist1m,high-acc,uniform_random,0.75,94,1,0.0,0.0,0.0,0.0,0.0,0.0,full_base_calibration,True,750353,0.750353,960,1000000
gist1m,high-acc,uniform_random,0.75,94,10,0.0,0.0,0.0,1.0,0.3,0.3,full_base_calibration,True,750353,0.750353,960,1000000
gist1m,high-acc,uniform_random,0.75,94,100,0.0,0.0,0.0,1.0,0.22,0.22,full_base_calibration,True,750353,0.750353,960,1000000
gist1m,high-acc,uniform_random,0.75,180,1,0.0,0.0,0.0,0.0,0.0,0.0,full_base_calibration,True,750353,0.750353,960,1000000
gist1m,high-acc,uniform_random,0.75,180,10,0.0,0.0,0.0,1.0,0.0,0.0,full_base_calibration,True,750353,0.750353,960,1000000
gist1m,high-acc,uniform_random,0.75,180,100,0.0,0.0,0.0,1.0,0.12,0.12,full_base_calibration,True,750353,0.750353,960,1000000
gist1m,high-acc,uniform_random,0.75,693,1,0.0,0.0,1.0,0.0,0.0,0.0,full_base_calibration,True,750353,0.750353,960,1000000
gist1m,high-acc,uniform_random,0.75,693,10,0.0,0.0,1.0,1.0,0.0,0.0,full_base_calibration,True,750353,0.750353,960,1000000
gist1m,high-acc,uniform_random,0.75,693,100,0.0,0.0,1.0,1.0,0.06,0.06,full_base_calibration,True,750353,0.750353,960,1000000
gist1m,high-acc,uniform_random,0.75,980,1,0.0,0.0,1.0,0.0,0.0,0.0,full_base_calibration,True,750353,0.750353,960,1000000
