dataset,config,policy_mode,selectivity,k,num_queries,num_base,dim,full_base,visible_count,visible_ratio,post_filter_recall,candidate_reference_recall,full_authorized_recall,post_filter_underfill_rate,candidate_vs_full_overlap,post_filter_vs_full_overlap,candidate_full_recall_gap,post_full_recall_gap,reference_scope
sift1m,high-acc,skewed_acl,0.1,100,10,1000000,128,True,100000,0.1,0.5,0.5,0.5,1.0,0.08499999999999999,0.08499999999999999,0.0,0.0,full_base_calibration
sift1m,high-acc,skewed_acl,0.25,1,10,1000000,128,True,250000,0.25,0.2,0.2,0.7,0.5,0.2,0.2,-0.49999999999999994,-0.49999999999999994,full_base_calibration
sift1m,high-acc,skewed_acl,0.25,10,10,1000000,128,True,250000,0.25,0.2,0.7,0.7,1.0,0.43,0.19000000000000003,0.0,-0.49999999999999994,full_base_calibration
sift1m,high-acc,skewed_acl,0.25,100,10,1000000,128,True,250000,0.25,0.7,0.7,0.7,1.0,0.187,0.187,0.0,0.0,full_base_calibration
sift1m,high-acc,skewed_acl,0.5,1,13,1000000,128,True,500000,0.5,0.23076923076923078,0.3076923076923077,0.7692307692307693,0.46153846153846156,0.38461538461538464,0.3076923076923077,-0.46153846153846156,-0.5384615384615385,full_base_calibration
sift1m,high-acc,skewed_acl,0.5,10,13,1000000,128,True,500000,0.5,0.38461538461538464,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.4461538461538461,0.26153846153846155,0.0,-0.38461538461538464,full_base_calibration
sift1m,high-acc,skewed_acl,0.5,100,13,1000000,128,True,500000,0.5,0.7692307692307693,0.7692307692307693,0.7692307692307693,1.0,0.3315384615384615,0.3315384615384615,0.0,0.0,full_base_calibration
sift1m,high-acc,skewed_acl,0.75,1,15,1000000,128,True,750000,0.75,0.06666666666666667,0.13333333333333333,1.0,0.3333333333333333,0.13333333333333333,0.06666666666666667,-0.8666666666666667,-0.9333333333333333,full_base_calibration
sift1m,high-acc,skewed_acl,0.75,10,15,1000000,128,True,750000,0.75,0.5333333333333333,0.8666666666666667,1.0,0.6666666666666666,0.4000000000000001,0.36000000000000004,-0.1333333333333333,-0.4666666666666667,full_base_calibration
sift1m,high-acc,skewed_acl,0.75,100,15,1000000,128,True,750000,0.75,0.9333333333333333,0.9333333333333333,1.0,1.0,0.45533333333333326,0.45533333333333326,-0.06666666666666665,-0.06666666666666665,full_base_calibration
sift1m,zk-opt,uniform_random,0.1,1,10,1000000,128,True,100317,0.100317,0.0,0.2,0.5,1.0,0.2,0.0,-0.3,-0.5,full_base_calibration
sift1m,zk-opt,uniform_random,0.1,10,10,1000000,128,True,100317,0.100317,0.0,0.5,0.5,1.0,0.52,0.05,0.0,-0.5,full_base_calibration
sift1m,zk-opt,uniform_random,0.1,100,10,1000000,128,True,100317,0.100317,0.5,0.5,0.5,1.0,0.10499999999999998,0.10499999999999998,0.0,0.0,full_base_calibration
sift1m,zk-opt,uniform_random,0.25,1,10,1000000,128,True,249631,0.249631,0.0,0.1,0.7,0.8,0.1,0.0,-0.6,-0.7,full_base_calibration
sift1m,zk-opt,uniform_random,0.25,10,10,1000000,128,True,249631,0.249631,0.1,0.6,0.7,1.0,0.38999999999999996,0.18,-0.09999999999999998,-0.6,full_base_calibration
sift1m,zk-opt,uniform_random,0.25,100,10,1000000,128,True,249631,0.249631,0.7,0.7,0.7,1.0,0.19699999999999998,0.19699999999999998,0.0,0.0,full_base_calibration
sift1m,zk-opt,uniform_random,0.5,1,15,1000000,128,True,499518,0.499518,0.2,0.2,0.7333333333333333,0.3333333333333333,0.26666666666666666,0.2,-0.5333333333333332,-0.5333333333333332,full_base_calibration
sift1m,zk-opt,uniform_random,0.5,10,15,1000000,128,True,499518,0.499518,0.4,0.7333333333333333,0.8,0.6666666666666666,0.44,0.29333333333333333,-0.06666666666666676,-0.4,full_base_calibration
sift1m,zk-opt,uniform_random,0.5,100,15,1000000,128,True,499518,0.499518,0.7333333333333333,0.7333333333333333,0.8,1.0,0.33999999999999997,0.33999999999999997,-0.06666666666666676,-0.06666666666666676,full_base_calibration
sift1m,zk-opt,uniform_random,0.75,1,15,1000000,128,True,749591,0.749591,0.2,0.2,0.8666666666666667,0.2,0.2,0.2,-0.6666666666666667,-0.6666666666666667,full_base_calibration
sift1m,zk-opt,uniform_random,0.75,10,15,1000000,128,True,749591,0.749591,0.4,0.7333333333333333,0.8666666666666667,0.6666666666666666,0.3933333333333333,0.3466666666666667,-0.13333333333333341,-0.4666666666666667,full_base_calibration
sift1m,zk-opt,uniform_random,0.75,100,15,1000000,128,True,749591,0.749591,0.8,0.8,0.8666666666666667,1.0,0.36266666666666675,0.36266666666666675,-0.06666666666666665,-0.06666666666666665,full_base_calibration
sift1m,zk-opt,clustered_acl,0.1,1,11,1000000,128,True,100000,0.1,0.0,0.0,0.45454545454545453,0.9090909090909091,0.0,0.0,-0.45454545454545453,-0.45454545454545453,full_base_calibration
sift1m,zk-opt,clustered_acl,0.1,10,11,1000000,128,True,100000,0.1,0.0,0.45454545454545453,0.45454545454545453,1.0,0.3727272727272727,0.03636363636363637,0.0,-0.45454545454545453,full_base_calibration
sift1m,zk-opt,clustered_acl,0.1,100,11,1000000,128,True,100000,0.1,0.45454545454545453,0.45454545454545453,0.45454545454545453,1.0,0.06363636363636363,0.06363636363636363,0.0,0.0,full_base_calibration
sift1m,zk-opt,clustered_acl,0.25,1,10,1000000,128,True,250000,0.25,0.1,0.1,0.6,0.5,0.2,0.2,-0.5,-0.5,full_base_calibration
sift1m,zk-opt,clustered_acl,0.25,10,10,1000000,128,True,250000,0.25,0.1,0.6,0.6,1.0,0.41999999999999993,0.15000000000000002,0.0,-0.5,full_base_calibration
sift1m,zk-opt,clustered_acl,0.25,100,10,1000000,128,True,250000,0.25,0.6,0.6,0.6,1.0,0.20099999999999998,0.20099999999999998,0.0,0.0,full_base_calibration
