artifact_path,phase,module,row_count,columns,reference_scope,full_base,num_base,num_queries,datasets,key_metrics_summary,description,exists
/home/zhixian/AuthView-VDB/artifacts/public_utility/sift_gist_utility_summary.csv,8C,public_utility_baseline,4,dataset|config|data_name|scheme|M|K|top_k|n_list|n_probe|cluster_bound|scale_n|layout|num_base|num_queries|dim|full_base|recall_at_1|recall_at_10|recall_at_100|build_time_s|query_time_s|qps|index_size_bytes|trace_path,unrestricted_baseline,true,['1000000'],"['1000', '10000']",gist1m|sift1m,sift1m/high-acc: R@10=0.749; sift1m/zk-opt: R@10=0.670; gist1m/high-acc: R@10=0.241; gist1m/zk-opt: R@10=0.211,Phase 8C full-base public IVF-PQ utility,True
/home/zhixian/AuthView-VDB/artifacts/auth_overlay/public_trace_auth_summary.csv,9A,authorization_overlay,144,dataset|config|policy_mode|selectivity|k|num_queries|visible_ratio|unrestricted_recall|post_filter_recall|authorized_recall|underfill_rate|avg_visible_results|violation_count|violation_rate|utility_gap|affected_query_rate|reference_scope,candidate_level,n/a,,"['1000', '10000']",gist1m|sift1m,k=10 sel=0.1: utility_gap mean=0.023; underfill mean=1.000,Phase 9A auth overlay on Phase 8C traces,True
/home/zhixian/AuthView-VDB/artifacts/auth_calibration/full_authorized_reference_summary.csv,9B,authorized_reference_calibration,144,dataset|config|policy_mode|selectivity|k|num_queries|num_base|dim|full_base|visible_count|visible_ratio|post_filter_recall|candidate_reference_recall|full_authorized_recall|post_filter_underfill_rate|candidate_vs_full_overlap|post_filter_vs_full_overlap|candidate_full_recall_gap|post_full_recall_gap|reference_scope,full_base_calibration,true,['1000000'],"['10', '11', '13', '15']",gist1m|sift1m,k=10: candidate_full_gap mean=-0.120; post_full_gap mean=-0.555,Phase 9B full-base exact authorized top-k calibration,True
