path,repeat_id,num_vectors,dim,n_list,n_probe,slot_per_list,top_k,N_sel,visible_ratio,auth_tree_depth,build_time,prove_time,verify_time,proof_size,memory,gates
baseline,0,400,64,8,4,64,5,256,0.991228,8,1.368796046,0.666379865,0.005005924,142035,1524658176,18720
auth_all_visible,0,400,64,8,4,64,5,256,0.991228,8,1.275296255,0.673948491,0.005011323,143159,1925283840,18744
auth_policy,0,400,64,8,4,64,5,256,0.991228,8,1.42914805,0.679644191,0.005037915,145224,2223566848,20358
auth_committed,0,400,64,8,4,64,5,256,0.991228,8,1.324569254,0.690995515,0.005070316,144944,2351017984,23583
